"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"639",1536734699999,51.2848823,0.4791364,10,2018-09-12 07:44:59
"640",1536734714999,51.2848261,0.4790685,10,2018-09-12 07:45:14
"664",1536734744999,51.2847492,0.4790224,10,2018-09-12 07:45:44
"1031",1536739230758,51.4573546,-0.1059153,14,2018-09-12 09:00:30
"1187",1536739917953,51.4949984,-0.1438304,14,2018-09-12 09:11:57
"1188",1536740043771,51.4957041,-0.1439506,31,2018-09-12 09:14:03
"1200",1536740225386,51.4961295,-0.1436185,13,2018-09-12 09:17:05
"1249",1536740937999,51.5011745,-0.1274786,10,2018-09-12 09:28:57
"1250",1536740952999,51.5011716,-0.1274791,10,2018-09-12 09:29:12
"1251",1536740968999,51.5011735,-0.1274776,10,2018-09-12 09:29:28
"1263",1536740999999,51.5011876,-0.127464,10,2018-09-12 09:29:59
"1287",1536741046999,51.5011856,-0.1265662,11,2018-09-12 09:30:46
"1288",1536741061999,51.5012076,-0.1264338,10,2018-09-12 09:31:01
"1319",1536741153999,51.5012303,-0.1263668,10,2018-09-12 09:32:33
"1320",1536741168999,51.501115,-0.1259658,10,2018-09-12 09:32:48
"1321",1536741184999,51.5010936,-0.1259511,10,2018-09-12 09:33:04
"1362",1536741281999,51.5010961,-0.1242648,10,2018-09-12 09:34:41
"1363",1536741297999,51.5010723,-0.1242792,10,2018-09-12 09:34:57
"1364",1536741313999,51.501102,-0.1245346,10,2018-09-12 09:35:13
"1365",1536741328999,51.5011393,-0.1247252,10,2018-09-12 09:35:28
"1377",1536741368234,51.5010817,-0.12511,13,2018-09-12 09:36:08
"1400",1536741428465,51.5010744,-0.1253208,14,2018-09-12 09:37:08
"1412",1536741464092,51.5010638,-0.1253538,10,2018-09-12 09:37:44
"1413",1536741479999,51.5010696,-0.1253453,10,2018-09-12 09:37:59
"1414",1536741495999,51.5010562,-0.1253279,10,2018-09-12 09:38:15
"1415",1536741510999,51.5010063,-0.1254641,18,2018-09-12 09:38:30
"1419",1536741541999,51.5011711,-0.1260403,19,2018-09-12 09:39:01
"1420",1536741556999,51.501401,-0.1261036,10,2018-09-12 09:39:16
"1421",1536741571999,51.5016152,-0.1261015,10,2018-09-12 09:39:31
"1425",1536741602999,51.5016455,-0.1258458,10,2018-09-12 09:40:02
"1426",1536741617999,51.5014652,-0.1258762,10,2018-09-12 09:40:17
"1427",1536741632999,51.5012375,-0.1258627,10,2018-09-12 09:40:32
"1577",1536742170999,51.5011728,-0.1263047,20,2018-09-12 09:49:30
"1578",1536742185999,51.501131,-0.1265411,19,2018-09-12 09:49:45
"1579",1536742201999,51.5012,-0.1269197,19,2018-09-12 09:50:01
"1582",1536742232999,51.5012198,-0.1274139,10,2018-09-12 09:50:32
"1583",1536742248999,51.5011141,-0.1275,10,2018-09-12 09:50:48
